"run","tick","PlantId","TotalDamge"
1,282.0,"crop",0
1,282.0,"host",0
1,283.0,"crop",0
1,283.0,"host",0
1,284.0,"crop",0
1,284.0,"host",0
1,285.0,"crop",0
1,285.0,"host",0
1,286.0,"crop",0
1,286.0,"host",0
1,287.0,"crop",0
1,287.0,"host",0
1,288.0,"crop",0
1,288.0,"host",0
1,289.0,"crop",0
1,289.0,"host",0
1,290.0,"crop",0
1,290.0,"host",0
1,291.0,"crop",0
1,291.0,"host",0
1,292.0,"crop",0
1,292.0,"host",0
1,293.0,"crop",0
1,293.0,"host",0
1,294.0,"crop",0
1,294.0,"host",0
1,295.0,"crop",0
1,295.0,"host",0
1,296.0,"crop",0
1,296.0,"host",0
1,297.0,"crop",0
1,297.0,"host",0
1,298.0,"crop",0
1,298.0,"host",0
1,299.0,"crop",0
1,299.0,"host",0
1,300.0,"crop",0
1,300.0,"host",0
1,301.0,"crop",0
1,301.0,"host",0
1,302.0,"crop",0
1,302.0,"host",0
1,303.0,"crop",0
1,303.0,"host",0
1,304.0,"crop",0
1,304.0,"host",0
1,305.0,"crop",0
1,305.0,"host",0
1,306.0,"crop",0
1,306.0,"host",0
1,307.0,"crop",0
1,307.0,"host",0
1,308.0,"crop",0
1,308.0,"host",0
1,309.0,"crop",0
1,309.0,"host",0
1,310.0,"crop",0
1,310.0,"host",0
1,311.0,"crop",0
1,311.0,"host",0
1,312.0,"crop",0
1,312.0,"host",0
1,313.0,"crop",0
1,313.0,"host",0
1,314.0,"crop",0
1,314.0,"host",0
1,315.0,"crop",0
1,315.0,"host",0
1,316.0,"crop",0
1,316.0,"host",0
1,317.0,"crop",0
1,317.0,"host",0
1,318.0,"crop",0
1,318.0,"host",0
1,319.0,"crop",0
1,319.0,"host",0
1,320.0,"crop",0
1,320.0,"host",0
1,321.0,"crop",0
1,321.0,"host",0
1,322.0,"crop",0
1,322.0,"host",0
1,323.0,"crop",0
1,323.0,"host",0
1,324.0,"crop",0
1,324.0,"host",0
1,325.0,"crop",0
1,325.0,"host",0
1,326.0,"crop",0
1,326.0,"host",0
1,327.0,"crop",0
1,327.0,"host",0
1,328.0,"crop",0
1,328.0,"host",0
1,329.0,"crop",0
1,329.0,"host",0
1,330.0,"crop",0
1,330.0,"host",0
1,331.0,"crop",0
1,331.0,"host",0
1,332.0,"crop",0
1,332.0,"host",0
1,333.0,"crop",0
1,333.0,"host",0
1,334.0,"crop",0
1,334.0,"host",0
1,335.0,"crop",0
1,335.0,"host",0
1,336.0,"crop",0
1,336.0,"host",0
1,337.0,"crop",0
1,337.0,"host",0
1,338.0,"crop",0
1,338.0,"host",0
1,339.0,"crop",0
1,339.0,"host",0
1,340.0,"crop",0
1,340.0,"host",0
1,341.0,"crop",0
1,341.0,"host",0
1,342.0,"crop",0
1,342.0,"host",0
1,343.0,"crop",0
1,343.0,"host",0
1,344.0,"crop",0
1,344.0,"host",0
1,345.0,"crop",0
1,345.0,"host",0
1,346.0,"crop",0
1,346.0,"host",0
1,347.0,"crop",0
1,347.0,"host",0
1,348.0,"crop",0
1,348.0,"host",0
1,349.0,"crop",0
1,349.0,"host",0
1,350.0,"crop",0
1,350.0,"host",0
1,351.0,"crop",0
1,351.0,"host",0
1,352.0,"crop",0
1,352.0,"host",0
1,353.0,"crop",0
1,353.0,"host",0
1,354.0,"crop",0
1,354.0,"host",0
1,355.0,"crop",0
1,355.0,"host",0
1,356.0,"crop",0
1,356.0,"host",0
1,357.0,"crop",0
1,357.0,"host",0
1,358.0,"crop",0
1,358.0,"host",0
1,359.0,"crop",0
1,359.0,"host",0
1,360.0,"crop",0
1,360.0,"host",0
1,361.0,"crop",0
1,361.0,"host",0
1,362.0,"crop",0
1,362.0,"host",0
1,363.0,"crop",0
1,363.0,"host",0
1,364.0,"crop",1582
1,364.0,"host",4073
1,365.0,"crop",1604
1,365.0,"host",4130
1,366.0,"crop",3666
1,366.0,"host",5511
1,367.0,"crop",4917
1,367.0,"host",7675
1,368.0,"crop",6430
1,368.0,"host",9140
1,369.0,"crop",8194
1,369.0,"host",10110
1,370.0,"crop",9919
1,370.0,"host",11729
1,371.0,"crop",11614
1,371.0,"host",13439
1,372.0,"crop",13328
1,372.0,"host",14839
1,373.0,"crop",15140
1,373.0,"host",16189
1,374.0,"crop",16969
1,374.0,"host",17715
1,375.0,"crop",18785
1,375.0,"host",19202
1,376.0,"crop",20612
1,376.0,"host",20608
1,377.0,"crop",22464
1,377.0,"host",22077
1,378.0,"crop",24275
1,378.0,"host",23614
1,379.0,"crop",26070
1,379.0,"host",25146
1,380.0,"crop",27876
1,380.0,"host",26675
1,381.0,"crop",29669
1,381.0,"host",28112
1,382.0,"crop",31450
1,382.0,"host",29585
1,383.0,"crop",33239
1,383.0,"host",31143
1,384.0,"crop",34998
1,384.0,"host",32634
1,385.0,"crop",36805
1,385.0,"host",34159
1,386.0,"crop",38589
1,386.0,"host",35619
